mismatch,seldiff,,
-12.45488265,-0.217181477,,normal curve fit in r
-6.774200251,-0.234241395,,
-6.0641669,0.01492483,,
-4.44669555,-0.421858928,,
-2.200230652,-0.583481387,,
-0.366860954,-0.417723821,,
0.512940394,-0.412757535,,
0.360834918,-0.610120625,,
-2.626416898,0.071174765,,
-1.10993361,0.159092562,,
0.818398113,-0.049200511,,
4.577606001,-0.029397708,,
5.466342507,-0.247810367,,
6.184895427,-0.211633368,,
6.513626116,-0.42990057,,
7.390518343,-0.352206257,,
8.51198454,-0.388861183,,
8.281956176,-0.638152085,,
8.14273395,-1.157596443,,
9.161341936,-0.622796081,,
8.418892664,-0.061564276,,
10.00955854,0.171788798,,
9.859115419,-0.067133165,,
9.705555382,-0.22813224,,
10.82702158,-0.264787167,,
11.31014348,-0.342834731,,
10.4315889,-0.378970171,,
10.60239587,-0.649144407,,
11.96053985,-0.602743925,,
13.30621617,-0.244651892,,
12.99119991,-0.369245395,,
13.39473657,-0.457661898,,
13.55619279,-0.494067471,,
17.40496005,-0.713248969,,
